iter	Passed	Remaining
166	1211	1690
167	1218	1682
168	1224	1674
169	1232	1667
170	1238	1658
171	1246	1652
172	1254	1646
173	1262	1640
174	1269	1631
175	1275	1623
176	1283	1617
177	1291	1610
178	1300	1606
179	1308	1599
180	1316	1593
181	1324	1586
182	1332	1580
183	1340	1573
184	1348	1566
185	1354	1558
186	1361	1551
187	1369	1544
188	1379	1540
189	1385	1531
190	1392	1523
191	1399	1516
192	1405	1507
193	1413	1500
194	1419	1492
195	1427	1486
196	1436	1479
197	1442	1472
198	1450	1464
199	1456	1456
200	1464	1450
201	1470	1441
202	1478	1434
203	1484	1426
204	1490	1418
205	1498	1411
206	1504	1402
207	1512	1395
208	1518	1387
209	1525	1380
210	1534	1374
211	1542	1367
212	1549	1360
213	1555	1352
214	1565	1346
215	1575	1341
216	1581	1334
217	1588	1325
218	1595	1318
219	1601	1310
220	1608	1302
221	1615	1295
222	1621	1287
223	1629	1280
224	1635	1272
225	1643	1265
226	1649	1257
227	1655	1249
228	1663	1241
229	1669	1233
230	1676	1226
231	1683	1219
232	1690	1211
233	1698	1205
234	1706	1198
235	1715	1191
236	1723	1185
237	1731	1178
238	1739	1171
239	1746	1164
240	1753	1156
241	1761	1149
242	1768	1142
243	1776	1135
244	1782	1128
245	1789	1120
246	1796	1112
247	1802	1105
248	1810	1097
249	1816	1089
250	1823	1082
251	1829	1074
252	1836	1066
253	1843	1059
254	1849	1051
255	1856	1044
256	1863	1036
257	1869	1029
258	1878	1022
259	1885	1015
260	1893	1008
261	1900	1000
262	1907	993
263	1913	985
264	1920	978
265	1929	971
266	1936	964
267	1944	957
268	1950	949
269	1959	943
270	1969	937
271	1978	931
272	1986	923
273	1993	916
274	2000	909
275	2007	901
276	2013	894
277	2020	886
278	2029	879
279	2037	873
280	2045	866
281	2051	858
282	2059	851
283	2065	843
284	2072	836
285	2078	828
286	2085	820
287	2092	813
288	2098	806
289	2106	799
290	2113	791
291	2121	784
292	2128	777
293	2137	770
294	2145	763
295	2154	757
296	2161	749
297	2169	742
298	2176	735
299	2183	727
300	2191	720
301	2198	713
302	2204	705
303	2212	698
304	2219	691
305	2226	684
306	2233	676
307	2242	669
308	2250	662
309	2257	655
310	2263	647
311	2271	640
312	2277	633
313	2283	625
314	2290	617
315	2296	610
316	2303	603
317	2309	595
318	2316	588
319	2322	580
320	2329	573
321	2336	566
322	2343	558
323	2349	551
324	2356	543
325	2363	536
326	2370	529
327	2377	521
328	2383	514
329	2390	507
330	2396	499
331	2404	492
332	2412	485
333	2419	478
334	2431	471
335	2439	464
336	2450	458
337	2458	451
338	2466	443
339	2473	436
340	2479	429
341	2487	421
342	2494	414
343	2502	407
344	2509	399
345	2517	392
346	2526	385
347	2534	378
348	2542	371
349	2551	364
350	2563	357
351	2571	350
352	2578	343
353	2586	336
354	2593	328
355	2602	321
356	2609	314
357	2617	307
358	2623	299
359	2630	292
360	2638	285
361	2646	277
362	2655	270
363	2662	263
364	2670	256
365	2678	248
366	2684	241
367	2691	234
368	2698	226
369	2705	219
370	2711	211
371	2718	204
372	2725	197
373	2732	189
374	2740	182
375	2747	175
376	2754	168
377	2760	160
378	2767	153
379	2774	146
380	2780	138
381	2786	131
382	2793	123
383	2801	116
384	2808	109
385	2816	102
386	2823	94
387	2830	87
388	2836	80
389	2843	72
390	2850	65
391	2857	58
392	2864	51
393	2871	43
394	2878	36
395	2884	29
396	2891	21
397	2898	14
398	2905	7
399	2912	0
